"No."	"Monoisotopic_Mass"	"Sum_Intensity"	"Number_of_Charge_States"	"Average_Charge"	"Delta_Mass"	"Relative_Abundance"	"Fractional_Abundance"	"RT_Range"	"sample"	"earp"	"efp"	"target_mass"
15	21498.6521	"60589.889999999999"	"3"	"23.876398952015709"	"15120.327799999999"	1.89617203418322	0.928278594368309	"0.114"	"nico_minus"	"minus"	"nico"	22225.4235
16	21510.6781	"308117.76000000001"	"8"	"19.788088582120952"	"15132.353800000001"	9.64260340705649	4.72057501924351	"0.114"	"nico_minus"	"minus"	"nico"	22225.4235
17	21520.6475	"69136.75"	"4"	"25.399450677643092"	"15142.323199999999"	2.16364762973355	1.05922234071052	"0.114"	"nico_minus"	"minus"	"nico"	22225.4235
18	21530.7012	"81785.520000000004"	"4"	"22.838123897669789"	"15152.376899999999"	2.55949327231214	1.25301015640202	"0.114"	"nico_minus"	"minus"	"nico"	22225.4235
19	21542.6914	"40932.57"	"3"	"23.905378281816436"	"15164.367099999999"	1.28099249761383	0.627114994654759	"0.114"	"nico_minus"	"minus"	"nico"	22225.4235
20	21552.7624	"60618.690000000002"	"4"	"22.625024635569549"	"15174.438099999999"	1.89707333561461	0.928719830084661	"0.114"	"nico_minus"	"minus"	"nico"	22225.4235
21	21566.6388	"30719.040000000001"	"3"	"26.526235379442912"	"15188.3145"	0.961358150096588	0.470636722917699	"0.114"	"nico_minus"	"minus"	"nico"	22225.4235
22	21589.631	"30965.5"	"3"	"24.774444689293915"	"15211.306700000001"	0.969071162276422	0.474412658843115	"0.114"	"nico_minus"	"minus"	"nico"	22225.4235
23	21601.5731	"24205.57"	"3"	"25.132265765004455"	"15223.248800000001"	0.7575178780728	0.370845903425204	"0.114"	"nico_minus"	"minus"	"nico"	22225.4235
24	21738.931	"76342.929999999993"	"4"	"22.374975529704084"	"15360.6067"	2.38916639184536	1.16962595162919	"0.114"	"nico_minus"	"minus"	"nico"	22225.4235
25	21750.935	"62711.360000000001"	"5"	"23.765059192712066"	"15372.610700000001"	1.96256383792075	0.960780967117204	"0.114"	"nico_minus"	"minus"	"nico"	22225.4235
